origin,destination,scenario,delta,gru_ms,b1_tt_s,b2_tt_s,b3_tt_s,b4_tt_s,fw_tt_s,fw_lat_ms,n_replannings,red_vs_b1,red_vs_b2,red_vs_b3,red_vs_b4,framework_tt_s,b1_dijkstra_tt_s,b2_static_astar_tt_s,b3_reactive_astar_tt_s,b4_oracle_tt_s,framework_lat_ms,framework_n_replannings,gru_inference_ms,reduction_vs_dijkstra_pct,reduction_vs_static_astar_pct,reduction_vs_reactive_astar_pct,reduction_vs_oracle_pct
18,160,peak_hour,0.05,43.37388700014344,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,1.8059210001410975,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,1.8059210001410975,0,43.37388700014344,0.0,19.872418798474772,0.0,0.0
18,160,peak_hour,0.1,43.37388700014344,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,1.7534880003040598,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,1.7534880003040598,0,43.37388700014344,0.0,19.872418798474772,0.0,0.0
18,160,peak_hour,0.15,43.37388700014344,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,1.7740260000209673,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,1.7740260000209673,0,43.37388700014344,0.0,19.872418798474772,0.0,0.0
18,160,peak_hour,0.2,43.37388700014344,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,1.7220820000147796,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,1.7220820000147796,0,43.37388700014344,0.0,19.872418798474772,0.0,0.0
135,90,peak_hour,0.05,38.52437199975611,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,0.49452099983682274,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,0.49452099983682274,0,38.52437199975611,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
135,90,peak_hour,0.1,38.52437199975611,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,0.4954289997840533,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,0.4954289997840533,0,38.52437199975611,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
135,90,peak_hour,0.15,38.52437199975611,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,0.6444759997066285,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,0.6444759997066285,0,38.52437199975611,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
135,90,peak_hour,0.2,38.52437199975611,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,0.4986690000805538,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,0.4986690000805538,0,38.52437199975611,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
89,177,peak_hour,0.05,37.14939900009995,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,491.15960157513643,0.21887499997319537,0,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449,491.15960157513643,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,0.21887499997319537,0,37.14939900009995,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449
89,177,peak_hour,0.1,37.14939900009995,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,491.15960157513643,0.23978600029295194,0,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449,491.15960157513643,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,0.23978600029295194,0,37.14939900009995,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449
89,177,peak_hour,0.15,37.14939900009995,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,491.15960157513643,0.21596299984594225,0,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449,491.15960157513643,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,0.21596299984594225,0,37.14939900009995,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449
89,177,peak_hour,0.2,37.14939900009995,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,491.15960157513643,0.21749000006821007,0,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449,491.15960157513643,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,0.21749000006821007,0,37.14939900009995,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449
