origin,destination,scenario,delta,gru_inference_ms,b1_dijkstra_tt_s,b1_dijkstra_lat_ms,b2_static_astar_tt_s,b2_static_astar_lat_ms,b3_reactive_astar_tt_s,b3_reactive_astar_lat_ms,b4_oracle_tt_s,b4_oracle_lat_ms,framework_tt_s,framework_lat_ms,framework_n_replannings,framework_feasible,reduction_vs_dijkstra_pct,reduction_vs_static_astar_pct,reduction_vs_reactive_astar_pct,reduction_vs_oracle_pct,dataset,sliding
1738803667,72027642,peak_hour,0.05,0.000900006853044033,597.0149253731344,0.3508000081637874,597.0149253731344,0.7059000054141507,597.0149253731344,0.42749999556690454,597.0149253731344,0.4318999999668449,141.69412557162582,0.26559999969322234,0,True,76.26623396675268,76.26623396675268,76.26623396675268,76.26623396675268,metr_la,True
1738803667,72027642,peak_hour,0.1,0.00019998697098344564,597.0149253731344,0.2207000070484355,597.0149253731344,0.27069999487139285,597.0149253731344,0.25769999774638563,597.0149253731344,0.27579999004956335,141.69412557162582,0.20870000298600644,0,True,76.26623396675268,76.26623396675268,76.26623396675268,76.26623396675268,metr_la,True
1738803667,72027642,peak_hour,0.15,0.000200001522898674,597.0149253731344,0.20129999029450119,597.0149253731344,0.24789999588392675,597.0149253731344,0.2567000046838075,597.0149253731344,0.24979999579954892,141.69412557162582,0.1959000073838979,0,True,76.26623396675268,76.26623396675268,76.26623396675268,76.26623396675268,metr_la,True
1738803667,72027642,peak_hour,0.2,0.000200001522898674,597.0149253731344,0.25610000011511147,597.0149253731344,0.24890000349842012,597.0149253731344,0.24049999774433672,597.0149253731344,0.2373000024817884,141.69412557162582,0.19830001110676676,0,True,76.26623396675268,76.26623396675268,76.26623396675268,76.26623396675268,metr_la,True
21748271,3854501359,peak_hour,0.05,0.000300002284348011,410.44776119402985,0.41290000081062317,410.44776119402985,0.3733000048669055,410.44776119402985,0.3132999991066754,410.44776119402985,0.31040000612847507,98.01723553283801,0.14560000272467732,0,True,76.11943716109037,76.11943716109037,76.11943716109037,76.11943716109037,metr_la,True
21748271,3854501359,peak_hour,0.1,0.000100000761449337,410.44776119402985,0.32040000951383263,410.44776119402985,0.32079999800771475,410.44776119402985,0.3043000033358112,410.44776119402985,0.3073999978369102,98.01723553283801,0.12820000119972974,0,True,76.11943716109037,76.11943716109037,76.11943716109037,76.11943716109037,metr_la,True
21748271,3854501359,peak_hour,0.15,0.000100000761449337,410.44776119402985,0.327600006130524,410.44776119402985,0.3209999995306134,410.44776119402985,0.29769999673590064,410.44776119402985,0.3032999957213178,98.01723553283801,0.12430000060703605,0,True,76.11943716109037,76.11943716109037,76.11943716109037,76.11943716109037,metr_la,True
21748271,3854501359,peak_hour,0.2,0.000200001522898674,410.44776119402985,0.341799997841008,410.44776119402985,0.3277000068919733,410.44776119402985,0.30899999546818435,410.44776119402985,0.312299991492182,98.01723553283801,0.12719999358523637,0,True,76.11943716109037,76.11943716109037,76.11943716109037,76.11943716109037,metr_la,True
122888799,122851793,peak_hour,0.05,0.000400003045797348,447.76119402985074,0.5262999911792576,447.76119402985074,0.4391999973449856,447.76119402985074,0.3674000035971403,447.76119402985074,0.35230000503361225,70.11984695008324,0.06800000846851617,0,True,84.33990084781475,84.33990084781475,84.33990084781475,84.33990084781475,metr_la,True
122888799,122851793,peak_hour,0.1,0.000100000761449337,447.76119402985074,0.3436999977566302,447.76119402985074,0.3507000074023381,447.76119402985074,0.3336999943712726,447.76119402985074,0.3249000001233071,70.11984695008324,0.05970000347588211,0,True,84.33990084781475,84.33990084781475,84.33990084781475,84.33990084781475,metr_la,True
122888799,122851793,peak_hour,0.15,0.000200001522898674,447.76119402985074,0.3220999933546409,447.76119402985074,0.3367999888723716,447.76119402985074,0.3252000024076551,447.76119402985074,0.331000002915971,70.11984695008324,0.054100004490464926,0,True,84.33990084781475,84.33990084781475,84.33990084781475,84.33990084781475,metr_la,True
122888799,122851793,peak_hour,0.2,0.000100000761449337,447.76119402985074,0.30610000248998404,447.76119402985074,0.36610000825021416,447.76119402985074,0.40600000647827983,447.76119402985074,0.34149999555666,70.11984695008324,0.06019999273121357,0,True,84.33990084781475,84.33990084781475,84.33990084781475,84.33990084781475,metr_la,True
