origin,destination,scenario,delta,gru_ms,b1_tt_s,b2_tt_s,b3_tt_s,b4_tt_s,fw_tt_s,fw_lat_ms,n_replannings,red_vs_b1,red_vs_b2,red_vs_b3,red_vs_b4,framework_tt_s,b1_dijkstra_tt_s,b2_static_astar_tt_s,b3_reactive_astar_tt_s,b4_oracle_tt_s,framework_lat_ms,framework_n_replannings,gru_inference_ms,reduction_vs_dijkstra_pct,reduction_vs_static_astar_pct,reduction_vs_reactive_astar_pct,reduction_vs_oracle_pct
18,160,peak_hour,0.05,88.65510000032373,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,3.0119000002741814,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,3.0119000002741814,0,88.65510000032373,0.0,19.872418798474772,0.0,0.0
18,160,peak_hour,0.1,88.65510000032373,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,3.0603000050177798,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,3.0603000050177798,0,88.65510000032373,0.0,19.872418798474772,0.0,0.0
18,160,peak_hour,0.15,88.65510000032373,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,2.8559000056702644,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,2.8559000056702644,0,88.65510000032373,0.0,19.872418798474772,0.0,0.0
18,160,peak_hour,0.2,88.65510000032373,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,427.6248364781035,3.6859000101685524,0,0.0,19.872418798474772,0.0,0.0,427.6248364781035,427.6248364781035,533.6799514796331,427.6248364781035,427.6248364781035,3.6859000101685524,0,88.65510000032373,0.0,19.872418798474772,0.0,0.0
135,90,peak_hour,0.05,81.04479999747127,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,0.8564000017940998,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,0.8564000017940998,0,81.04479999747127,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
135,90,peak_hour,0.1,81.04479999747127,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,1.1257000005571172,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,1.1257000005571172,0,81.04479999747127,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
135,90,peak_hour,0.15,81.04479999747127,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,0.8361000072909519,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,0.8361000072909519,0,81.04479999747127,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
135,90,peak_hour,0.2,81.04479999747127,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,437.5599237118443,0.9906000050250441,0,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745,437.5599237118443,434.52026332666463,441.01243208201464,434.52026332666463,441.01243208201464,0.9906000050250441,0,81.04479999747127,-0.6995439894812246,0.7828596472600745,-0.6995439894812246,0.7828596472600745
89,177,peak_hour,0.05,69.71860000339802,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,491.15960157513643,0.5276999872876331,0,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449,491.15960157513643,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,0.5276999872876331,0,69.71860000339802,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449
89,177,peak_hour,0.1,69.71860000339802,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,491.15960157513643,0.4243000003043562,0,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449,491.15960157513643,490.79744045425184,698.0729183313426,490.79744045425184,490.79744045425184,0.4243000003043562,0,69.71860000339802,-0.07379034425065449,29.64064517082356,-0.07379034425065449,-0.07379034425065449
